"comfort","price","rooms_count","useful_surface","built_surface","construction_year","level","max_level","kitchens_count","bathrooms_count","parking_lots_count","balconies_count"
1,62000,3,66,74,1970,4,4,1,1,0,1
1,90288,2,58,70,2020,0,4,1,1,0,1
4,114900,3,74,86,1987,4,8,1,2,1,1
1,86999,4,79,89,1984,8,8,2,3,0,2
4,79000,3,70,78,2021,1,7,1,2,0,1
1,59072,2,56,63,2020,1,7,1,1,0,1
1,112000,3,70,88,2020,2,9,1,2,0,1
4,88600,2,62,74,2021,2,11,1,1,0,1
4,60000,2,59,65,2021,2,7,1,1,0,1
1,38200,1,37,46,2020,1,4,1,1,0,1
1,73500,3,67,77,2020,3,4,1,1,0,1
1,38500,1,33,41,2020,0,4,1,1,0,1
4,69550,2,52,67,2021,1,4,1,1,1,0
4,96500,2,60,82,2020,1,2,1,1,0,0
1,116000,3,88,114,2017,3,4,1,1,0,1
1,179000,4,112,145,2020,5,5,1,3,0,2
1,65000,2,93,102,2020,5,6,1,2,1,2
4,47500,1,40,49,2020,2,5,1,1,0,1
1,79900,2,55,70,1981,4,8,1,1,0,1
4,50375,2,60,70,2020,4,4,1,1,0,0
4,94800,2,59,71,2020,0,5,1,1,0,1
1,54500,2,55,66,2020,1,5,1,1,0,1
1,41800,2,51,61,2020,1,3,1,1,0,1
1,89000,2,50,60,2017,1,10,1,1,0,0
4,156000,2,54,79,2020,8,11,1,1,0,1
1,99910,2,53,63,2021,1,6,1,1,0,1
1,127000,3,82,101,2020,1,9,1,2,0,1
4,88000,3,72,72,2020,1,3,1,1,1,1
1,126188,3,83,101,2021,4,12,1,2,0,0
4,59000,2,54,60,2020,1,4,1,1,0,1
4,169900,3,125,150,2020,3,4,1,2,0,2
4,58000,2,54,59,2020,1,3,1,1,1,0
1,115500,3,82,117,2019,5,6,1,2,0,1
1,60200,2,105,105,2020,0,5,1,1,1,1
1,56000,2,47,57,2020,0,4,1,1,0,1
4,71998,2,59,66,2015,6,6,1,1,1,2
1,50950,2,58,70,2020,3,6,1,1,0,1
1,125000,3,102,149,2011,2,8,1,2,1,1
4,127000,2,50,93,2014,11,11,1,1,0,0
4,139500,3,74,106,2020,1,5,1,2,0,2
4,169000,3,110,139,2007,9,17,2,1,1,2
1,94000,3,93,107,2019,6,6,1,1,0,1
